Mã CP,Model,MSE,MAE,RMSE,R²,MAPE (%)
VCB,RandomForest_Reg,6.11165038273252,1.322355960394912,2.4721752330149496,0.6374741703830664,2.013793131187801
VCB,XGBoost_Reg,6.4351055331247515,1.3602033228487582,2.5367509797228327,0.6182877249229146,2.07633400905008
FPT,RandomForest_Reg,24.383314045520972,3.7041708090801917,4.937946338866085,0.7903727235235155,3.7586219669602072
FPT,XGBoost_Reg,9.344336493093031,2.312587471008301,3.056850747598422,0.9196652347638226,2.3192740996732404
HPG,RandomForest_Reg,0.28498779213474423,0.37796232435732474,0.533842478765735,0.9630468086429187,1.502267632066019
HPG,XGBoost_Reg,0.3457379077297204,0.4086801577903128,0.5879948194752402,0.9551695917638022,1.615075237912168
VIC,RandomForest_Reg,2422.1235004207792,29.967870266298732,49.215073914612574,0.026870899871277665,22.86966182589225
VIC,XGBoost_Reg,2426.2482523924496,30.059654723760246,49.256961461223426,0.025213710973292724,23.098762647310892
POW,RandomForest_Reg,0.10482308203513235,0.2356292456110983,0.32376392948432714,0.953972738511699,1.9596466018604648
POW,XGBoost_Reg,0.10878813514814942,0.24613015316628117,0.32983046425118073,0.9522317046391529,2.0588105645659915
